load_factor	values_in_table	successful_time_ns	unsuccessful_time_ns
0.00	0	0.000000	676.603500
0.03	1966	675.270092	660.689500
0.06	3932	568.326500	585.127000
0.09	5898	600.980000	712.094000
0.12	7864	584.370000	652.355000
0.15	9830	689.734500	617.802000
0.18	11796	728.371000	669.510000
0.21	13762	658.726000	672.006000
0.24	15728	667.119500	722.295000
0.27	17694	623.515000	669.932500
0.30	19660	602.563000	703.916500
0.33	21626	583.350000	706.285000
0.36	23592	644.537000	757.670000
0.39	25559	610.778500	749.306000
0.42	27525	579.485000	1140.762000
0.45	29491	612.068500	831.545000
0.48	31457	588.230000	841.172500
0.50	32768	586.172500	857.410000
0.51	33423	589.368500	1083.636500
0.54	35389	595.437500	1003.632000
0.57	37355	811.160000	1405.293000
0.60	39321	665.458500	1191.353500
0.63	41287	630.208000	1202.889500
0.66	43253	724.627000	1890.891500
0.69	45219	628.793500	1602.103500
0.72	47185	733.997000	1987.885500
0.75	49152	628.418000	1937.315500
0.78	51118	675.530000	2786.044000
0.81	53084	665.815500	3359.465000
0.84	55050	604.217500	7389.360500
0.87	57016	659.643000	5915.524000
0.90	58982	622.403500	8337.312500
0.93	60948	690.211500	23568.715500
0.96	62914	687.058000	67392.051000
0.99	64880	670.875500	561063.760000
