q	values_inserted	no_rehash_time_ns	no_rehash_time_per_insert_ns	doubling_time_ns	doubling_time_per_insert_ns	add_10000_time_ns	add_10000_time_per_insert_ns
4	11	19916.000	1810.545455	9334.800	848.618182	8723.400	793.036364
5	23	20267.200	881.182609	18669.000	811.695652	17726.400	770.713043
6	47	40135.000	853.936170	38560.800	820.442553	44326.800	943.123404
7	95	75265.400	792.267368	102915.600	1083.322105	74636.000	785.642105
8	191	141633.200	741.535079	147532.400	772.420942	144049.000	754.183246
9	383	285337.400	745.006266	330107.400	861.899217	330576.800	863.124804
10	767	593734.400	774.099609	653862.600	852.493611	772616.800	1007.323077
11	1535	1124406.200	732.512182	1404755.600	915.150228	1262879.200	822.722606
12	3071	2255207.400	734.356040	2774095.000	903.319766	2759892.400	898.695018
13	6143	4805983.200	782.351164	6181411.200	1006.252841	6893962.600	1122.246883
14	12287	12740675.600	1036.923220	12455042.800	1013.676471	12357402.800	1005.729861
15	24575	22355767.800	909.695536	27266458.600	1109.520187	25645178.600	1043.547451
16	49151	42814605.200	871.083095	54276232.000	1104.275233	53459819.800	1087.664947
17	98303	108863520.000	1107.428258	110327824.800	1122.324088	104856358.800	1066.664891
